F670;;LATIN SMALL CAPITAL LETTER AE WITH ACUTE;<sc> 01FD
F671;;LATIN SMALL CAPITAL LETTER C WITH ACUTE;<sc> 0107
F672;;LATIN SMALL CAPITAL LETTER C WITH CARON;<sc> 010D
F673;;LATIN SMALL CAPITAL LETTER C WITH CIRCUMFLEX;<sc> 0109
F674;;LATIN SMALL CAPITAL LETTER C WITH DOT ABOVE;<sc> 010B
F675;;LATIN SMALL CAPITAL LETTER D WITH CARON;<sc> 010F
F676;;LATIN SMALL CAPITAL LETTER D WITH STROKE;<sc> 0111
F677;;LATIN SMALL CAPITAL LETTER E WITH BREVE;<sc> 0115
F678;;LATIN SMALL CAPITAL LETTER E WITH CARON;<sc> 011B
F679;;LATIN SMALL CAPITAL LETTER E WITH DOT ABOVE;<sc> 0117
F67A;;LATIN SMALL CAPITAL LETTER E WITH MACRON;<sc> 0113
F67B;;LATIN SMALL CAPITAL LETTER ENG;<sc> 014B
F67C;;LATIN SMALL CAPITAL LETTER E WITH OGONEK;<sc> 0119
F67D;;LATIN SMALL CAPITAL LETTER G WITH BREVE;<sc> 011F
F67E;;LATIN SMALL CAPITAL LETTER G WITH CIRCUMFLEX;<sc> 011D
F67F;;LATIN SMALL CAPITAL LETTER G WITH COMMA BELOW;<sc> 0123
F680;;LATIN SMALL CAPITAL LETTER G WITH DOT ABOVE;<sc> 0121
F681;;LATIN SMALL CAPITAL LETTER H WITH STROKE;<sc> 0127
F682;;LATIN SMALL CAPITAL LETTER H WITH CIRCUMFLEX;<sc> 0125
F683;;LATIN SMALL CAPITAL LETTER I WITH BREVE;<sc> 012D
F684;;LATIN SMALL CAPITAL LIGATURE IJ;<sc> 0133
F685;;LATIN SMALL CAPITAL LETTER I WITH MACRON;<sc> 012B
F686;;LATIN SMALL CAPITAL LETTER I WITH OGONEK;<sc> 012F
F687;;LATIN SMALL CAPITAL LETTER I WITH TILDE;<sc> 0129
F688;;LATIN SMALL CAPITAL LETTER J WITH CIRCUMFLEX;<sc> 0135
F689;;LATIN SMALL CAPITAL LETTER K WITH COMMA BELOW;<sc> 0137
F68A;;LATIN SMALL CAPITAL LETTER L WITH ACUTE;<sc> 013A
F68B;;LATIN SMALL CAPITAL LETTER L WITH CARON;<sc> 013E
F68C;;LATIN SMALL CAPITAL LETTER L WITH COMMA BELOW;<sc> 013C
F68D;;LATIN SMALL CAPITAL LETTER L WITH MIDDLE DOT;<sc> 0140
F68E;;LATIN SMALL CAPITAL LETTER N WITH ACUTE;<sc> 0144
F68F;;LATIN SMALL CAPITAL LETTER N WITH CARON;<sc> 0148
F690;;LATIN SMALL CAPITAL LETTER N WITH COMMA BELOW;<sc> 0146
F691;;LATIN SMALL CAPITAL LETTER O WITH BREVE;<sc> 014F
F692;;LATIN SMALL CAPITAL LETTER O WITH DOUBLE ACUTE;<sc> 0151
F693;;LATIN SMALL CAPITAL LETTER O WITH MACRON;<sc> 014D
F694;;LATIN SMALL CAPITAL LETTER O WITH STROKE AND ACUTE;<sc> 01FF
F695;;LATIN SMALL CAPITAL LETTER R WITH ACUTE;<sc> 0155
F696;;LATIN SMALL CAPITAL LETTER R WITH CARON;<sc> 0159
F697;;LATIN SMALL CAPITAL LETTER R WITH COMMA BELOW;<sc> 0157
F698;;LATIN SMALL CAPITAL LETTER S WITH ACUTE;<sc> 015B
F699;;LATIN SMALL CAPITAL LETTER S WITH CEDILLA;<sc> 1E9F
F69A;;LATIN SMALL CAPITAL LETTER S WITH CIRCUMFLEX;<sc> 015D
F69B;;LATIN SMALL CAPITAL LETTER S WITH COMMA BELOW;<sc> 015F
F69C;;LATIN SMALL CAPITAL LETTER T WITH STROKE;<sc> 0167
F69D;;LATIN SMALL CAPITAL LETTER T WITH CARON;<sc> 0165
F69E;;LATIN SMALL CAPITAL LETTER T WITH COMMA BELOW;<sc> 0163
F69F;;LATIN SMALL CAPITAL LETTER U WITH BREVE;<sc> 016D
F6A0;;LATIN SMALL CAPITAL LETTER U WITH DOUBLE ACUTE;<sc> 0171
F6A1;;LATIN SMALL CAPITAL LETTER U WITH MACRON;<sc> 016B
F6A2;;LATIN SMALL CAPITAL LETTER U WITH OGONEK;<sc> 0173
F6A3;;LATIN SMALL CAPITAL LETTER U WITH RING ABOVE;<sc> 016F
F6A4;;LATIN SMALL CAPITAL LETTER U WITH TILDE;<sc> 0169
F6A5;;LATIN SMALL CAPITAL LETTER W WITH ACUTE;<sc> 1E83
F6A6;;LATIN SMALL CAPITAL LETTER W WITH CIRCUMFLEX;<sc> 0175
F6A7;;LATIN SMALL CAPITAL LETTER W WITH DIAERESIS;<sc> 1E85
F6A8;;LATIN SMALL CAPITAL LETTER W WITH GRAVE;<sc> 1E81
F6A9;;LATIN SMALL CAPITAL LETTER Y WITH CIRCUMFLEX;<sc> 0177
F6AA;;LATIN SMALL CAPITAL LETTER Y WITH GRAVE;<sc> 1EF3
F6AB;;LATIN SMALL CAPITAL LETTER Z WITH ACUTE;<sc> 017A
F6AC;;LATIN SMALL CAPITAL LETTER Z WITH DOT ABOVE;<sc> 017C
F6AD;;LATIN SMALL CAPITAL LETTER I WITH DOT ABOVE;<sc> 0130
F6AE;;CAPITAL LEFT PARENTHESIS;<cap> 0028
F6AF;;CAPITAL RIGHT PARENTHESIS;<cap> 0029
F6B0;;CAPITAL LEFT SQUARE BRACKET;<cap> 005B
F6B1;;CAPITAL RIGHT SQUARE BRACKET;<cap> 005D
F6B2;;CAPITAL LEFT CURLY BRACKET;<cap> 007B
F6B3;;CAPITAL RIGHT CURLY BRACKET;<cap> 007D
F6B4;;CAPITAL INVERTED EXCLAMATION MARK;<cap> 00A1
F6B5;;CAPITAL INVERTED QUESTION MARK;<cap> 00BF
F6B6;;CAPITAL LEFT-POINTING DOUBLE ANGLE QUOTATION MARK;<cap> 00AB
F6B7;;CAPITAL RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK;<cap> 00BB
F6B8;;CAPITAL SINGLE LEFT-POINTING ANGLE QUOTATION MARK;<cap> 2039
F6B9;;CAPITAL SINGLE RIGHT-POINTING ANGLE QUOTATION MARK;<cap> 203A
F6BA;;CAPITAL HYPHEN-MINUS;<cap> 002D
F6BB;;CAPITAL EN DASH;<cap> 2013
F6BC;;CAPITAL EM DASH;<cap> 2014
F6BD;;CAPITAL MIDDLE DOT;<cap> 00B7

# --------------------------------------------------------------------------
# 7.  Miscellaneous assignments.
#     [3 UVs]

F6BE;dotlessj;LATIN SMALL LETTER DOTLESS J;
F6BF;LL;LATIN CAPITAL LETTER LL;<compat> 004C 004C
F6C0;ll;LATIN SMALL LETTER LL;<compat> 006C 006C


# --------------------------------------------------------------------------
# 6.  From the Adobe Standard Central European character set. Note that the
#     descriptive character names for U+F6C1 and U+F6C2 are the same as the
#     Unicode 2.0 character names for U+015E and U+015F. See the document
#     "Unicode and Glyph Names" for details.
#     [3 UVs]

F6C1;Scedilla;LATIN CAPITAL LETTER S WITH CEDILLA;0053 0327
F6C2;scedilla;LATIN SMALL LETTER S WITH CEDILLA;0073 0327
F6C3;commaaccent;COMMA BELOW;<compat> 0020 0326


# --------------------------------------------------------------------------
# 5.  From the Adobe Standard Cyrillic Character Set.
#     [21 UVs]

F6C4;afii10063;CYRILLIC SMALL LETTER GHE VARIANT;<compat> 0433;Serbian variant
F6C5;afii10064;CYRILLIC SMALL LETTER BE VARIANT;<compat> 0431;Serbian variant
F6C6;afii10192;CYRILLIC SMALL LETTER DE VARIANT;<compat> 0434;Serbian variant
F6C7;afii10831;CYRILLIC SMALL LETTER PE VARIANT;<compat> 043F;Serbian variant
F6C8;afii10832;CYRILLIC SMALL LETTER TE VARIANT;<compat> 0442;Serbian variant
F6C9;Acute;CAPITAL ACUTE ACCENT;<cap> 00B4
F6CA;Caron;CAPITAL CARON;<cap> 02C7
F6CB;Dieresis;CAPITAL DIAERESIS;<cap> 00A8
F6CC;DieresisAcute;CAPITAL DIAERESIS ACUTE ACCENT;<cap> 0020 0308 0301;<cap> F6D7
F6CD;DieresisGrave;CAPITAL DIAERESIS GRAVE ACCENT;<cap> 0020 0308 0300;<cap> F6D8
F6CE;Grave;CAPITAL GRAVE ACCENT;<cap> 0060
F6CF;Hungarumlaut;CAPITAL DOUBLE ACUTE ACCENT;<cap> 02DD
F6D0;Macron;CAPITAL MACRON;<cap> 00AF
F6D1;cyrBreve;CAPITAL CYRILLIC BREVE;<compat> <cap> 02D8;<cap> F6D4
F6D2;cyrFlex;CAPITAL CYRILLIC CIRCUMFLEX;<compat> <cap> 02C6;<cap> F6D5
F6D3;dblGrave;CAPITAL DOUBLE GRAVE ACCENT;<cap> 0020 030F;<cap> F6D6
F6D4;cyrbreve;CYRILLIC BREVE;<compat> 02D8
F6D5;cyrflex;CYRILLIC CIRCUMFLEX;<compat> 02C6
F6D6;dblgrave;DOUBLE GRAVE ACCENT;<compat> 0020 030F
F6D7;dieresisacute;DIAERESIS ACUTE ACCENT;<compat> 0020 0308 0301
F6D8;dieresisgrave;DIAERESIS GRAVE ACCENT;<compat> 0020 0308 0300


# --------------------------------------------------------------------------
# 4.  From the character set of the font Symbol. These glyphs were not
#     assigned by Apple in the Corporate Use subarea.
#     [3 UVs]

F6D9;copyrightserif;COPYRIGHT SIGN SERIF;<font> 00A9
F6DA;registerserif;REGISTERED SIGN SERIF;<font> 00AE
F6DB;trademarkserif;TRADE MARK SIGN SERIF;<font> 2122


# --------------------------------------------------------------------------
# 3.  From the Adobe Expert character set.
#     [115 UVs]

# --- Miscellaneous:

F6DC;onefitted;PROPORTIONAL DIGIT ONE;<compat> 0031
F6DD;rupiah;RUPIAH SIGN;<compat> 0052 0070
F6DE;threequartersemdash;THREE QUARTERS EM DASH;<compat> 2014

# --- Superscripts and subscripts:

F6DF;centinferior;SUBSCRIPT CENT SIGN;<sub> 00A2
F6E0;centsuperior;SUPERSCRIPT CENT SIGN;<super> 00A2
F6E1;commainferior;SUBSCRIPT COMMA;<sub> 002C
F6E2;commasuperior;SUPERSCRIPT COMMA;<super> 002C
F6E3;dollarinferior;SUBSCRIPT DOLLAR SIGN;<sub> 0024
F6E4;dollarsuperior;SUPERSCRIPT DOLLAR SIGN;<super> 0024
F6E5;hypheninferior;SUBSCRIPT HYPHEN-MINUS;<sub> 002D
F6E6;hyphensuperior;SUPERSCRIPT HYPHEN-MINUS;<super> 002D
F6E7;periodinferior;SUBSCRIPT FULL STOP;<sub> 002E
F6E8;periodsuperior;SUPERSCRIPT FULL STOP;<super> 002E
